5.991E-03 0.4836  0.9962 1.618E-22 1.530E+04
6.026E-03 0.4818  0.9961 1.624E-22 1.541E+04
6.060E-03 0.4800  0.9961 1.630E-22 1.552E+04
6.095E-03 0.4782  0.9960 1.636E-22 1.563E+04
6.131E-03 0.4764  0.9959 1.642E-22 1.574E+04
6.166E-03 0.4746  0.9959 1.648E-22 1.585E+04
6.202E-03 0.4729  0.9958 1.654E-22 1.596E+04
6.237E-03 0.4710  0.9957 1.660E-22 1.608E+04
6.273E-03 0.4691  0.9957 1.666E-22 1.620E+04
6.310E-03 0.4672  0.9956 1.672E-22 1.631E+04
6.346E-03 0.4654  0.9955 1.678E-22 1.643E+04
6.383E-03 0.4635  0.9955 1.684E-22 1.655E+04
6.419E-03 0.4617  0.9954 1.690E-22 1.666E+04
6.457E-03 0.4598  0.9953 1.696E-22 1.678E+04
6.494E-03 0.4580  0.9952 1.702E-22 1.689E+04
6.531E-03 0.4562  0.9952 1.708E-22 1.701E+04
6.569E-03 0.4544  0.9951 1.715E-22 1.713E+04
6.607E-03 0.4526  0.9950 1.721E-22 1.724E+04
6.645E-03 0.4508  0.9949 1.727E-22 1.736E+04
6.683E-03 0.4490  0.9948 1.733E-22 1.748E+04
6.722E-03 0.4472  0.9948 1.739E-22 1.760E+04
6.761E-03 0.4454  0.9947 1.745E-22 1.772E+04
6.800E-03 0.4437  0.9946 1.751E-22 1.783E+04
6.839E-03 0.4419  0.9945 1.757E-22 1.795E+04
6.879E-03 0.4402  0.9944 1.763E-22 1.807E+04
6.918E-03 0.4385  0.9943 1.769E-22 1.819E+04
6.958E-03 0.4367  0.9943 1.775E-22 1.831E+04
6.998E-03 0.4349  0.9942 1.781E-22 1.843E+04
7.039E-03 0.4332  0.9941 1.787E-22 1.855E+04
7.079E-03 0.4314  0.9940 1.793E-22 1.867E+04
7.120E-03 0.4297  0.9939 1.799E-22 1.879E+04
7.161E-03 0.4280  0.9938 1.805E-22 1.891E+04
7.203E-03 0.4263  0.9937 1.812E-22 1.903E+04
7.244E-03 0.4246  0.9936 1.818E-22 1.915E+04
7.286E-03 0.4229  0.9935 1.824E-22 1.927E+04
7.328E-03 0.4212  0.9934 1.830E-22 1.939E+04
7.371E-03 0.4195  0.9933 1.836E-22 1.951E+04
7.413E-03 0.4178  0.9932 1.842E-22 1.963E+04
7.456E-03 0.4161  0.9932 1.848E-22 1.975E+04
7.499E-03 0.4144  0.9931 1.853E-22 1.987E+04
7.542E-03 0.4127  0.9930 1.859E-22 2.000E+04
7.586E-03 0.4109  0.9929 1.865E-22 2.012E+04
7.630E-03 0.4092  0.9928 1.871E-22 2.024E+04
7.674E-03 0.4075  0.9927 1.877E-22 2.036E+04
7.718E-03 0.4058  0.9926 1.883E-22 2.048E+04
7.762E-03 0.4040  0.9925 1.888E-22 2.061E+04
7.807E-03 0.4021  0.9924 1.894E-22 2.073E+04
7.852E-03 0.4002  0.9923 1.899E-22 2.085E+04
7.898E-03 0.3980  0.9922 1.903E-22 2.097E+04
7.943E-03 0.3932  0.9922 1.899E-22 2.110E+04
7.989E-03 0.4004  0.9921 1.895E-22 2.080E+04
8.035E-03 0.3997  0.9920 1.904E-22 2.093E+04
8.082E-03 0.3987  0.9918 1.912E-22 2.105E+04
8.128E-03 0.3975  0.9917 1.919E-22 2.117E+04
8.175E-03 0.3963  0.9916 1.926E-22 2.129E+04
8.222E-03 0.3950  0.9915 1.933E-22 2.142E+04
8.270E-03 0.3937  0.9913 1.940E-22 2.154E+04
8.318E-03 0.3925  0.9912 1.947E-22 2.166E+04
8.366E-03 0.3912  0.9911 1.954E-22 2.178E+04
8.414E-03 0.3898  0.9910 1.960E-22 2.190E+04
8.463E-03 0.3885  0.9908 1.967E-22 2.202E+04
8.511E-03 0.3872  0.9907 1.973E-22 2.214E+04
8.561E-03 0.3858  0.9906 1.980E-22 2.227E+04
8.610E-03 0.3845  0.9905 1.987E-22 2.239E+04
8.660E-03 0.3832  0.9903 1.993E-22 2.251E+04
8.710E-03 0.3818  0.9902 2.000E-22 2.263E+04
8.760E-03 0.3805  0.9901 2.006E-22 2.275E+04
