age,snrate,Xi_LyC,Psi_LW,Psi_PE
48.6,0,-4.24271e+40,0.615586,5.65091
48.7,0,-4.5091e+40,0.607755,5.61796
48.8,0,-4.77548e+40,0.599924,5.58501
48.9,0,-5.04186e+40,0.592093,5.55206
49,0,-5.30825e+40,0.584262,5.51911
49.1,0,-5.57463e+40,0.576431,5.48616
49.2,0,-5.84102e+40,0.5686,5.45321
49.3,0,-6.1074e+40,0.560769,5.42026
49.4,0,-6.37379e+40,0.552938,5.38731
49.5,0,-6.64017e+40,0.545107,5.35436
49.6,0,-6.90655e+40,0.537276,5.32141
49.7,0,-7.17294e+40,0.529445,5.28846
49.8,0,-7.43932e+40,0.521614,5.25552
49.9,0,-7.70571e+40,0.513784,5.22257
