# CIE bound-bound cooling efficiency for O (Z=8)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_O0           L_O1           L_O2           L_O3           L_O4           L_O5           L_O6           L_O7           L_O8         
         8.4000   0.000000e+00   2.516658e-23   1.006663e-22   2.264993e-22   4.026654e-22   6.291646e-22   9.059971e-22   1.247083e-21   1.636233e-21
         8.4500   0.000000e+00   2.665780e-23   1.066312e-22   2.399202e-22   4.265248e-22   6.664450e-22   9.596808e-22   1.317402e-21   1.727550e-21
         8.5000   0.000000e+00   2.823737e-23   1.129495e-22   2.541364e-22   4.517980e-22   7.059343e-22   1.016545e-21   1.392145e-21   1.824681e-21
         8.5500   0.000000e+00   2.991054e-23   1.196422e-22   2.691949e-22   4.785687e-22   7.477636e-22   1.076780e-21   1.471555e-21   1.927942e-21
         8.6000   0.000000e+00   3.168285e-23   1.267314e-22   2.851457e-22   5.069256e-22   7.920713e-22   1.140583e-21   1.555896e-21   2.037672e-21
         8.6500   0.000000e+00   3.356018e-23   1.342407e-22   3.020416e-22   5.369629e-22   8.390045e-22   1.208166e-21   1.645444e-21   2.154230e-21
         8.7000   0.000000e+00   3.554875e-23   1.421950e-22   3.199387e-22   5.687799e-22   8.887186e-22   1.279755e-21   1.741889e-21   2.278002e-21
         8.7500   0.000000e+00   3.765514e-23   1.506206e-22   3.388963e-22   6.024823e-22   9.413785e-22   1.355585e-21   1.845102e-21   2.409929e-21
         8.8000   0.000000e+00   3.988635e-23   1.595454e-22   3.589771e-22   6.381816e-22   9.971587e-22   1.435909e-21   1.954431e-21   2.552726e-21
         8.8500   0.000000e+00   4.224976e-23   1.689991e-22   3.802479e-22   6.759962e-22   1.056244e-21   1.520991e-21   2.070238e-21   2.703985e-21
         8.9000   0.000000e+00   4.475322e-23   1.790129e-22   4.027790e-22   7.160515e-22   1.118830e-21   1.611116e-21   2.192908e-21   2.864206e-21
         8.9500   0.000000e+00   4.740501e-23   1.896201e-22   4.266451e-22   7.584802e-22   1.185125e-21   1.706581e-21   2.322846e-21   3.033921e-21
         9.0000   0.000000e+00   5.021394e-23   2.008558e-22   4.519254e-22   8.034230e-22   1.255348e-21   1.807702e-21   2.460483e-21   3.213692e-21
