# CIE bound-bound cooling efficiency for Mg (Z=12)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Mg0          L_Mg1          L_Mg2          L_Mg3          L_Mg4          L_Mg5          L_Mg6          L_Mg7          L_Mg8          L_Mg9          L_Mg10         L_Mg11         L_Mg12       
         8.1000   4.716016e-23   4.850298e-23   1.661512e-24   3.171921e-24   4.837932e-24   2.208290e-23   1.133153e-23   2.643083e-23   5.233979e-23   2.615211e-22   7.745243e-22   8.721647e-22   0.000000e+00
         8.1500   5.256291e-23   5.311067e-23   1.488739e-24   2.834032e-24   4.311274e-24   2.011202e-23   1.012506e-23   2.398312e-23   4.929787e-23   2.444036e-22   7.322572e-22   8.241905e-22   0.000000e+00
         8.2000   5.857678e-23   5.815272e-23   1.331121e-24   2.526453e-24   3.833054e-24   1.829322e-23   9.029263e-24   2.173257e-23   4.637112e-23   2.281172e-22   6.914172e-22   7.778553e-22   0.000000e+00
         8.2500   6.526951e-23   6.366895e-23   1.187708e-24   2.247211e-24   3.399968e-24   1.661794e-23   8.036326e-24   1.966681e-23   4.355950e-23   2.126454e-22   6.520019e-22   7.331753e-22   0.000000e+00
         8.3000   7.271607e-23   6.970270e-23   1.057560e-24   1.994370e-24   3.008798e-24   1.507765e-23   7.138719e-24   1.777413e-23   4.086259e-23   1.979699e-22   6.140180e-22   6.901514e-22   0.000000e+00
         8.3500   8.099943e-23   7.630116e-23   9.397532e-25   1.766039e-24   2.656424e-24   1.366400e-23   6.329230e-24   1.604328e-23   3.828004e-23   1.840716e-22   5.775251e-22   6.487923e-22   0.000000e+00
         8.4000   9.021134e-23   8.351559e-23   8.333917e-25   1.560384e-24   2.339841e-24   1.236881e-23   5.600970e-24   1.446338e-23   3.581165e-23   1.709311e-22   5.425420e-22   6.091407e-22   0.000000e+00
         8.4500   1.004532e-22   9.140174e-23   7.376076e-25   1.375639e-24   2.056170e-24   1.118414e-23   4.947370e-24   1.302388e-23   3.345688e-23   1.585295e-22   5.089599e-22   5.711966e-22   0.000000e+00
         8.5000   1.118371e-22   1.000201e-22   6.515662e-25   1.210109e-24   1.802665e-24   1.010234e-23   4.362183e-24   1.171464e-23   3.121473e-23   1.468469e-22   4.767130e-22   5.348718e-22   0.000000e+00
         8.5500   1.244866e-22   1.094364e-22   5.744690e-25   1.062180e-24   1.576719e-24   9.116058e-24   3.839506e-24   1.052594e-23   2.908386e-23   1.358608e-22   4.458853e-22   5.001191e-22   0.000000e+00
