# CIE bound-bound cooling efficiency for Ar (Z=18)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ar0          L_Ar1          L_Ar2          L_Ar3          L_Ar4          L_Ar5          L_Ar6          L_Ar7          L_Ar8          L_Ar9          L_Ar10         L_Ar11         L_Ar12         L_Ar13         L_Ar14         L_Ar15         L_Ar16         L_Ar17         L_Ar18       
         6.3000   0.000000e+00   2.370474e-24   7.959363e-21   2.858509e-18   2.953063e-18   3.127949e-18   2.456957e-18   1.495402e-18   5.158462e-19   4.665719e-19   4.690364e-19   4.427580e-19   4.156641e-19   3.844090e-19   3.388549e-19   1.793038e-19   8.690433e-21   1.968506e-20   1.876683e-20
         6.3500   0.000000e+00   2.491703e-24   7.488424e-21   2.845087e-18   2.916340e-18   3.093434e-18   2.415836e-18   1.480286e-18   5.936981e-19   5.278505e-19   5.270326e-19   4.878774e-19   4.487298e-19   4.049903e-19   3.490494e-19   1.821110e-19   8.403617e-21   1.877232e-20   1.788573e-20
         6.4000   0.000000e+00   2.621244e-24   7.047877e-21   2.826637e-18   2.875366e-18   3.051231e-18   2.370958e-18   1.462775e-18   6.714213e-19   5.885476e-19   5.858289e-19   5.346423e-19   4.834409e-19   4.267297e-19   3.601246e-19   1.857418e-19   8.139358e-21   1.794214e-20   1.706210e-20
         6.4500   0.000000e+00   2.759579e-24   6.635455e-21   2.803489e-18   2.830646e-18   3.002033e-18   2.322871e-18   1.443011e-18   7.476296e-19   6.474959e-19   6.441621e-19   5.819442e-19   5.190231e-19   4.491998e-19   3.719339e-19   1.901396e-19   7.896788e-21   1.716713e-20   1.629306e-20
         6.5000   0.000000e+00   2.907202e-24   6.249092e-21   2.775968e-18   2.782803e-18   2.946674e-18   2.272055e-18   1.421164e-18   8.211116e-19   7.037177e-19   7.009844e-19   6.286818e-19   5.546448e-19   4.719012e-19   3.842451e-19   1.952143e-19   7.676149e-21   1.644535e-20   1.557589e-20
         6.5500   0.000000e+00   3.064628e-24   5.886907e-21   2.744395e-18   2.732368e-18   2.886054e-18   2.218954e-18   1.398361e-18   8.908518e-19   7.564195e-19   7.554071e-19   6.739137e-19   5.894820e-19   4.943080e-19   3.967642e-19   2.008443e-19   7.480221e-21   1.577512e-20   1.490801e-20
         6.6000   0.000000e+00   3.232389e-24   5.547181e-21   2.709089e-18   2.679770e-18   2.821086e-18   2.163979e-18   1.373962e-18   9.560389e-19   8.049761e-19   8.067035e-19   7.168709e-19   6.228291e-19   5.159070e-19   4.091653e-19   2.068956e-19   7.316470e-21   1.514579e-20   1.428704e-20
         6.6500   0.000000e+00   3.411048e-24   5.228346e-21   2.670366e-18   2.625366e-18   2.752693e-18   2.107513e-18   1.348152e-18   1.016063e-18   8.489820e-19   8.543077e-19   7.569377e-19   6.541516e-19   5.362435e-19   4.211184e-19   2.132534e-19   7.200512e-21   1.458307e-20   1.371076e-20
         6.7000   0.000000e+00   3.601196e-24   4.928968e-21   2.628540e-18   2.569462e-18   2.681725e-18   2.049909e-18   1.321116e-18   1.070506e-18   8.882500e-19   8.978049e-19   7.936506e-19   6.830327e-19   5.549683e-19   4.323196e-19   2.198486e-19   7.160942e-21   1.408466e-20   1.317702e-20
         6.7500   0.000000e+00   3.803463e-24   4.647730e-21   2.583919e-18   2.512326e-18   2.608931e-18   1.991560e-18   1.293018e-18   1.119123e-18   9.227827e-19   9.369167e-19   8.266873e-19   7.091656e-19   5.718156e-19   4.425386e-19   2.266621e-19   7.244407e-21   1.366751e-20   1.268395e-20
