# CIE bound-bound cooling efficiency for Ar (Z=18)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ar0          L_Ar1          L_Ar2          L_Ar3          L_Ar4          L_Ar5          L_Ar6          L_Ar7          L_Ar8          L_Ar9          L_Ar10         L_Ar11         L_Ar12         L_Ar13         L_Ar14         L_Ar15         L_Ar16         L_Ar17         L_Ar18       
         5.9000   0.000000e+00   0.000000e+00   1.317076e-20   2.740547e-18   3.006761e-18   3.070581e-18   2.565091e-18   1.515020e-18   6.344140e-20   1.017289e-19   1.527708e-19   2.119111e-19   2.416586e-19   2.630546e-19   2.659979e-19   1.707152e-19   7.586320e-39   2.124855e-40   0.000000e+00
         5.9500   0.000000e+00   0.000000e+00   1.234301e-20   2.781121e-18   3.032209e-18   3.114917e-18   2.580675e-18   1.523907e-18   9.351245e-20   1.273990e-19   1.743400e-19   2.280607e-19   2.562787e-19   2.765202e-19   2.771049e-19   1.719692e-19   1.027737e-36   3.939082e-38   0.000000e+00
         6.0000   0.000000e+00   0.000000e+00   1.157375e-20   2.813373e-18   3.046493e-18   3.147679e-18   2.586225e-18   1.529202e-18   1.318897e-19   1.591796e-19   2.005352e-19   2.467827e-19   2.717905e-19   2.894508e-19   2.867347e-19   1.725989e-19   8.128156e-35   4.118271e-36   0.000000e+00
         6.0500   0.000000e+00   0.000000e+00   1.085831e-20   2.837813e-18   3.050593e-18   3.169301e-18   2.582569e-18   1.531165e-18   1.788113e-19   1.973622e-19   2.320358e-19   2.688936e-19   2.888943e-19   3.023322e-19   2.952524e-19   1.728462e-19   3.979037e-33   2.584469e-34   0.000000e+00
         6.1000   0.000000e+00   0.000000e+00   1.019237e-20   2.854918e-18   3.045453e-18   3.180247e-18   2.570612e-18   1.529917e-18   2.339921e-19   2.418217e-19   2.691987e-19   2.950250e-19   3.082380e-19   3.157301e-19   3.030982e-19   1.729755e-19   1.270260e-31   1.029156e-32   0.000000e+00
         6.1500   0.000000e+00   0.000000e+00   9.571982e-21   2.865135e-18   3.032064e-18   3.181015e-18   2.551246e-18   1.525449e-18   2.966306e-19   2.919933e-19   3.119954e-19   3.255228e-19   3.303144e-19   3.301664e-19   3.107474e-19   1.732547e-19   2.770244e-30   2.732193e-31   0.000000e+00
         6.2000   0.000000e+00   0.000000e+00   8.993510e-21   2.868880e-18   3.011586e-18   3.172150e-18   2.525314e-18   1.517912e-18   3.654733e-19   3.469158e-19   3.600126e-19   3.603970e-19   3.553859e-19   3.460338e-19   3.186443e-19   1.739313e-19   4.301604e-29   5.053846e-30   0.000000e+00
         6.2500   0.000000e+00   0.000000e+00   8.453651e-21   2.866541e-18   2.984986e-18   3.154248e-18   2.493606e-18   1.507690e-18   4.389412e-19   4.053565e-19   4.124792e-19   3.993602e-19   3.834477e-19   3.635428e-19   3.271464e-19   1.752093e-19   4.935150e-28   6.776100e-29   0.000000e+00
         6.3000   0.000000e+00   0.000000e+00   7.949392e-21   2.858485e-18   2.953019e-18   3.127879e-18   2.456854e-18   1.495093e-18   5.153993e-19   4.659147e-19   4.683372e-19   4.418275e-19   4.142538e-19   3.826982e-19   3.364854e-19   1.772312e-19   4.324020e-27   6.821824e-28   0.000000e+00
         6.3500   0.000000e+00   0.000000e+00   7.477989e-21   2.845063e-18   2.916294e-18   3.093360e-18   2.415728e-18   1.479976e-18   5.932502e-19   5.271935e-19   5.263355e-19   4.869563e-19   4.473475e-19   4.033195e-19   3.467475e-19   1.800682e-19   2.979922e-26   5.321436e-27   0.000000e+00
         6.4000   0.000000e+00   0.000000e+00   7.036947e-21   2.826612e-18   2.875318e-18   3.051154e-18   2.370844e-18   1.462464e-18   6.709718e-19   5.878889e-19   5.851315e-19   5.337273e-19   4.820815e-19   4.250928e-19   3.578822e-19   1.837216e-19   1.658381e-25   3.307608e-26   0.000000e+00
         6.4500   0.000000e+00   0.000000e+00   6.623995e-21   2.803462e-18   2.830596e-18   3.001952e-18   2.322753e-18   1.442698e-18   7.471782e-19   6.468340e-19   6.434620e-19   5.810321e-19   5.176818e-19   4.475906e-19   3.697429e-19   1.881346e-19   7.630088e-25   1.679496e-25   0.000000e+00
         6.5000   0.000000e+00   0.000000e+00   6.237066e-21   2.775940e-18   2.782751e-18   2.946590e-18   2.271932e-18   1.420849e-18   8.206577e-19   7.030507e-19   7.002791e-19   6.277690e-19   5.533169e-19   4.703137e-19   3.820975e-19   1.932173e-19   2.963788e-24   7.121985e-25   0.000000e+00
         6.5500   0.000000e+00   0.000000e+00   5.874275e-21   2.744366e-18   2.732313e-18   2.885966e-18   2.218825e-18   1.398044e-18   8.903952e-19   7.557459e-19   7.546943e-19   6.729971e-19   5.881629e-19   4.927364e-19   3.946521e-19   1.988478e-19   9.901901e-24   2.572009e-24   0.000000e+00
         6.6000   0.000000e+00   0.000000e+00   5.533902e-21   2.709058e-18   2.679713e-18   2.820995e-18   2.163844e-18   1.373641e-18   9.555789e-19   8.042945e-19   8.059810e-19   7.159474e-19   6.215142e-19   5.143454e-19   4.070811e-19   2.048921e-19   2.892804e-23   8.048844e-24   0.000000e+00
         6.6500   0.000000e+00   0.000000e+00   5.214375e-21   2.670334e-18   2.625306e-18   2.752597e-18   2.107372e-18   1.347829e-18   1.015599e-18   8.482912e-19   8.535735e-19   7.560043e-19   6.528365e-19   5.346862e-19   4.190546e-19   2.112360e-19   7.499704e-23   2.216600e-23   0.000000e+00
         6.7000   0.000000e+00   0.000000e+00   4.914258e-21   2.628506e-18   2.569400e-18   2.681625e-18   2.049762e-18   1.320789e-18   1.070038e-18   8.875491e-19   8.970571e-19   7.927045e-19   6.817131e-19   5.534098e-19   4.302689e-19   2.178107e-19   1.748267e-22   5.447101e-23   0.000000e+00
         6.7500   0.000000e+00   0.000000e+00   4.632233e-21   2.583884e-18   2.512261e-18   2.608827e-18   1.991406e-18   1.292687e-18   1.118650e-18   9.220709e-19   9.361539e-19   8.257260e-19   7.078375e-19   5.702507e-19   4.404936e-19   2.245968e-19   3.707913e-22   1.209540e-22   0.000000e+00
