# CIE bound-bound cooling efficiency for Mg (Z=12)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Mg0          L_Mg1          L_Mg2          L_Mg3          L_Mg4          L_Mg5          L_Mg6          L_Mg7          L_Mg8          L_Mg9          L_Mg10         L_Mg11         L_Mg12       
         7.1000   5.308530e-24   1.538699e-18   9.791715e-19   1.135538e-18   9.078148e-19   8.054060e-19   1.132624e-18   9.353511e-19   7.165219e-19   4.805396e-19   8.588604e-20   3.792299e-20   9.901637e-22
         7.1500   5.920220e-24   1.481400e-18   9.610231e-19   1.118474e-18   8.959171e-19   7.949402e-19   1.113313e-18   9.183873e-19   7.029583e-19   4.816477e-19   9.717841e-20   4.248086e-20   1.062395e-21
         7.2000   6.603433e-24   1.425711e-18   9.421324e-19   1.100210e-18   8.829097e-19   7.835570e-19   1.092937e-18   9.005170e-19   6.886620e-19   4.818294e-19   1.085471e-19   4.694115e-20   1.138826e-21
         7.2500   7.366349e-24   1.371668e-18   9.226048e-19   1.080886e-18   8.688943e-19   7.713361e-19   1.071652e-18   8.819157e-19   6.737438e-19   4.812993e-19   1.198327e-19   5.122734e-20   1.219182e-21
         7.3000   8.218080e-24   1.319286e-18   9.025369e-19   1.060668e-18   8.539716e-19   7.583560e-19   1.049586e-18   8.627178e-19   6.583426e-19   4.800919e-19   1.308908e-19   5.527743e-20   1.303044e-21
         7.3500   9.168782e-24   1.268552e-18   8.820190e-19   1.039696e-18   8.382409e-19   7.446941e-19   1.026856e-18   8.430326e-19   6.425770e-19   4.779539e-19   1.415954e-19   5.904420e-20   1.389895e-21
         7.4000   1.022976e-23   1.219403e-18   8.611360e-19   1.018079e-18   8.217995e-19   7.304263e-19   1.003566e-18   8.229531e-19   6.265353e-19   4.749190e-19   1.518398e-19   6.249474e-20   1.479125e-21
         7.4500   1.141362e-23   1.171778e-18   8.399685e-19   9.959099e-19   8.047419e-19   7.156273e-19   9.798159e-19   8.025623e-19   6.102878e-19   4.710305e-19   1.615281e-19   6.560947e-20   1.570138e-21
         7.5000   1.273436e-23   1.125632e-18   8.185926e-19   9.732759e-19   7.871591e-19   7.003695e-19   9.557087e-19   7.819366e-19   5.938943e-19   4.663377e-19   1.705726e-19   6.838015e-20   1.662355e-21
         7.5500   1.420761e-23   1.080928e-18   7.970798e-19   9.502582e-19   7.691388e-19   6.847233e-19   9.313420e-19   7.611519e-19   5.774086e-19   4.608908e-19   1.789082e-19   7.080745e-20   1.755346e-21
         7.6000   1.585072e-23   1.037644e-18   7.754974e-19   9.269357e-19   7.507640e-19   6.687564e-19   9.068074e-19   7.402964e-19   5.608809e-19   4.547447e-19   1.864925e-19   7.289877e-20   1.848826e-21
         7.6500   1.768302e-23   9.957718e-19   7.539078e-19   9.033848e-19   7.321137e-19   6.525337e-19   8.821897e-19   7.194474e-19   5.443615e-19   4.482324e-19   1.933023e-19   7.466668e-20   1.942729e-21
         7.7000   1.972599e-23   9.553006e-19   7.323688e-19   8.796793e-19   7.132617e-19   6.361168e-19   8.575666e-19   6.986682e-19   5.279127e-19   4.412903e-19   1.993306e-19   7.612731e-20   2.037210e-21
         7.7500   2.200352e-23   9.162135e-19   7.109337e-19   8.558902e-19   6.942773e-19   6.195639e-19   8.330171e-19   6.780128e-19   5.115911e-19   4.338264e-19   2.045835e-19   7.729862e-20   2.132639e-21
         7.8000   2.454218e-23   8.784895e-19   6.896509e-19   8.320845e-19   6.752246e-19   6.029298e-19   8.086210e-19   6.575280e-19   4.954428e-19   4.258973e-19   2.090785e-19   7.819953e-20   2.229580e-21
         7.8500   2.737148e-23   8.421040e-19   6.685644e-19   8.083256e-19   6.561628e-19   5.862656e-19   7.844380e-19   6.372566e-19   4.795056e-19   4.175594e-19   2.128444e-19   7.884960e-20   2.328760e-21
         7.9000   3.052420e-23   8.070299e-19   6.477138e-19   7.846722e-19   6.371466e-19   5.696185e-19   7.605134e-19   6.172412e-19   4.638110e-19   4.088657e-19   2.159192e-19   7.926825e-20   2.431021e-21
         7.9500   3.403674e-23   7.732377e-19   6.271345e-19   7.611786e-19   6.182251e-19   5.530321e-19   7.368838e-19   5.975157e-19   4.483867e-19   3.998645e-19   2.183441e-19   7.947416e-20   2.537279e-21
         8.0000   3.794954e-23   7.406968e-19   6.068578e-19   7.378946e-19   5.994434e-19   5.365469e-19   7.135806e-19   5.781058e-19   4.332605e-19   3.906033e-19   2.201626e-19   7.948508e-20   2.648487e-21
         8.0500   4.230743e-23   7.093749e-19   5.869113e-19   7.148650e-19   5.808419e-19   5.201988e-19   6.906313e-19   5.590322e-19   4.184516e-19   3.811290e-19   2.214203e-19   7.931790e-20   2.765620e-21
